,type,zola,water,price,heat,sera
70,мазут,0.036,0.344,1313.0,40511.309,1.835
71,мазут,0.043,0.286,1301.0,40341.805,1.244
72,мазут,0.068,0.16,1254.0,40492.857,1.663
73,мазут,0.021,0.101,1126.0,40828.278,2.819
74,мазут,0.105,0.161,1394.0,40082.25,3.756
75,мазут,0.053,0.136,1189.0,39806.179,2.686
76,мазут,0.026,0.133,1298.0,39902.206,0.976
77,мазут,0.067,0.38,1205.0,39917.704,1.983
78,мазут,0.066,0.38,1131.0,40283.706,1.457
79,мазут,0.035,0.226,1198.0,40214.905,1.927
80,мазут,0.043,0.096,1142.0,40166.328,0.311
81,мазут,0.024,0.372,1411.0,40878.595,2.276
82,мазут,0.053,0.404,1156.0,39261.384,2.315
83,мазут,0.039,0.067,1362.0,40533.733,0.961
84,мазут,0.055,0.133,1259.0,40628.19,1.441
85,мазут,0.021,0.407,1480.0,40685.401,2.24
86,мазут,0.039,0.155,1111.0,39923.824,2.392
87,мазут,0.032,0.1,1286.0,40128.583,1.979
88,мазут,0.044,0.248,1303.0,39953.548,0.89
89,мазут,0.024,0.16,1173.0,39655.684,2.337
90,мазут,0.046,0.098,1195.0,40506.28,2.021
91,мазут,0.109,0.378,1127.0,40134.785,0.978
92,мазут,0.059,0.195,1327.0,39187.254,2.914
93,мазут,0.05,0.185,1201.0,40176.476,0.821
94,мазут,0.053,0.226,1403.0,39085.469,1.942
95,мазут,0.051,0.3,1347.0,40491.36,1.968
96,мазут,0.046,0.102,1460.0,39743.164,2.309
97,мазут,0.027,0.279,1211.0,39478.081,0.95
98,мазут,0.023,0.038,1350.0,40288.692,0.961
99,мазут,0.024,0.135,1310.0,39137.788,0.802
100,мазут,0.051,0.05,1210.0,39510.486,1.379
101,мазут,0.055,0.182,1297.0,40437.857,1.535
102,мазут,0.089,0.126,1348.0,39521.751,2.2
103,мазут,0.042,0.129,1181.0,39726.0,2.111
104,мазут,0.05,0.395,1093.0,39822.366,0.429
105,мазут,0.031,0.152,1205.0,40207.864,3.189
106,мазут,0.024,0.024,1115.0,40741.003,0.784
107,мазут,0.06,0.225,1389.0,39082.797,0.409
108,мазут,0.034,0.197,1178.0,40360.957,1.286
109,мазут,0.047,0.207,1169.0,40648.763,2.719
110,мазут,0.06,0.228,1092.0,40388.92,0.758
111,мазут,0.081,0.118,1299.0,39533.363,2.981
112,мазут,0.056,0.35,1194.0,39890.516,2.434
113,мазут,0.05,0.134,1057.0,39833.781,2.171
114,мазут,0.073,0.358,1141.0,39570.563,1.54
115,мазут,0.056,0.112,1384.0,39253.237,0.606
116,мазут,0.022,0.007,1356.0,39511.353,3.353
117,мазут,0.086,0.299,1232.0,40001.906,0.763
118,мазут,0.061,0.252,1202.0,39477.136,1.323
119,мазут,0.065,0.059,1387.0,39573.785,0.629
120,мазут,0.044,0.072,1386.0,40110.304,2.403
121,мазут,0.064,0.106,1402.0,39669.01,2.253
122,мазут,0.054,0.015,1374.0,39994.865,1.587
123,мазут,0.082,0.282,1398.0,39648.518,2.615
124,мазут,0.067,0.124,1212.0,39640.864,0.868
125,мазут,0.05,0.006,1475.0,40408.046,2.323
126,мазут,0.04,0.122,1198.0,40715.588,2.027
127,мазут,0.045,0.161,1341.0,39551.366,1.93
128,мазут,0.057,0.159,1150.0,40329.113,1.907
129,мазут,0.02,0.16,1221.0,40904.313,1.161
130,мазут,0.052,0.153,1212.0,40210.647,2.954
131,мазут,0.083,0.023,1231.0,40542.659,2.767
132,мазут,0.025,0.228,1204.0,39052.688,2.759
133,мазут,0.091,0.155,1426.0,40090.494,3.322
134,мазут,0.087,0.107,1193.0,40054.482,0.799
135,мазут,0.07,0.296,1318.0,40365.208,1.128
136,мазут,0.047,0.073,1223.0,40045.648,0.853
137,мазут,0.056,0.042,1396.0,39899.068,3.616
138,мазут,0.072,0.042,1107.0,39285.136,3.519
139,мазут,0.035,0.023,1119.0,39539.859,2.613
140,мазут,0.055,0.272,1195.0,40034.316,2.138
141,мазут,0.061,0.154,1238.0,39635.254,0.575
142,мазут,0.049,0.322,1255.0,39961.219,3.45
143,мазут,0.066,0.033,1441.0,39634.806,0.386
144,мазут,0.034,0.259,1324.0,40581.549,2.508
145,мазут,0.033,0.346,1360.0,39166.396,2.322
146,мазут,0.021,0.161,1294.0,40069.04,1.174
147,мазут,0.039,0.383,1111.0,39134.016,2.366
148,мазут,0.047,0.41,1492.0,40559.372,0.378
149,мазут,0.106,0.03,1217.0,39895.729,1.98
150,мазут,0.038,0.174,1241.0,39570.03,1.434
151,мазут,0.045,0.181,1295.0,39932.898,1.75
152,мазут,0.061,0.1,1199.0,39437.062,3.641
153,мазут,0.033,0.239,1339.0,39674.41,1.778
154,мазут,0.061,0.392,1235.0,39541.108,2.068
155,мазут,0.058,0.328,1258.0,40083.378,3.33
156,мазут,0.08,0.218,1068.0,39970.916,2.834
157,мазут,0.077,0.298,1209.0,39758.947,0.976
158,мазут,0.035,0.131,1432.0,39687.287,0.516
159,мазут,0.033,0.293,1215.0,39667.498,2.242
160,мазут,0.024,0.041,1333.0,39331.524,1.262
161,мазут,0.045,0.183,1203.0,40168.423,2.69
162,мазут,0.038,0.265,1290.0,39708.54,0.422
163,мазут,0.056,0.149,1360.0,40220.913,2.932
164,мазут,0.041,0.334,1294.0,40093.204,0.784
165,мазут,0.051,0.157,1082.0,40577.403,1.44
166,мазут,0.024,0.298,1243.0,40109.712,3.161
167,мазут,0.074,0.308,1349.0,39717.964,2.343
168,мазут,0.054,0.166,1150.0,39565.227,2.988
169,мазут,0.058,0.092,1206.0,39913.944,1.358
170,мазут,0.07,0.271,1157.0,40003.013,1.738
171,мазут,0.047,0.29,1099.0,40588.107,1.271
172,мазут,0.049,0.067,1208.0,40872.497,1.554
173,мазут,0.051,0.19,1045.0,39547.775,1.274
174,мазут,0.04,0.145,1200.0,40825.35,2.479
175,мазут,0.034,0.263,1442.0,39655.255,0.996
176,мазут,0.042,0.429,1317.0,40163.501,1.407
177,мазут,0.024,0.247,1188.0,39310.457,2.629
178,мазут,0.047,0.031,1267.0,39520.473,1.207
179,мазут,0.062,0.338,1159.0,40354.221,2.969
180,мазут,0.057,0.38,1209.0,40032.426,0.878
181,мазут,0.031,0.277,1373.0,40023.576,2.566
182,мазут,0.035,0.06,1062.0,39095.167,1.019
183,мазут,0.089,0.026,1308.0,39874.274,2.996
184,мазут,0.053,0.447,1413.0,40050.043,1.594
185,мазут,0.093,0.197,1028.0,39751.297,0.796
186,мазут,0.077,0.357,1377.0,39890.748,1.858
187,мазут,0.033,0.414,1085.0,40136.841,1.358
188,мазут,0.023,0.13,1126.0,39581.512,3.57
189,мазут,0.031,0.123,1247.0,39911.903,1.956
190,мазут,0.028,0.348,1079.0,40528.691,1.753
191,мазут,0.052,0.213,1190.0,39863.294,2.054
192,мазут,0.03,0.138,1147.0,40422.245,2.81
193,мазут,0.038,0.005,1422.0,39743.058,3.294
194,мазут,0.062,0.141,1196.0,40854.622,3.219
195,мазут,0.053,0.107,1190.0,39971.296,2.403
196,мазут,0.051,0.168,1249.0,39910.074,2.33
197,мазут,0.042,0.147,1026.0,39808.401,0.342
198,мазут,0.04,0.136,1210.0,39368.539,3.735
199,мазут,0.084,0.162,1419.0,39669.629,1.667
200,мазут,0.025,0.103,1196.0,39486.657,1.411
201,мазут,0.023,0.301,1370.0,39535.927,1.634
202,мазут,0.065,0.203,1344.0,39905.818,2.033
203,мазут,0.03,0.033,1293.0,40359.706,2.968
204,мазут,0.097,0.211,1269.0,39900.979,2.875
205,мазут,0.032,0.058,1475.0,39945.044,2.057
206,мазут,0.051,0.265,1282.0,39620.234,1.557
207,мазут,0.074,0.069,1445.0,40435.21,0.595
208,мазут,0.035,0.171,1404.0,40343.328,1.249
209,мазут,0.025,0.099,1172.0,39966.929,3.188
210,мазут,0.071,0.098,1298.0,40098.092,1.538
211,мазут,0.031,0.184,1087.0,39729.139,2.018
212,мазут,0.052,0.157,1052.0,39122.594,2.098
213,мазут,0.093,0.313,1184.0,40156.182,0.932
214,мазут,0.041,0.31,1231.0,39924.512,2.768
215,мазут,0.025,0.265,1345.0,39705.777,1.764
216,мазут,0.077,0.03,1392.0,40120.062,2.318
217,мазут,0.053,0.166,1221.0,39754.273,2.777
218,мазут,0.076,0.043,1320.0,39580.841,0.999
219,мазут,0.037,0.03,1214.0,40016.71,1.508
220,мазут,0.044,0.312,1304.0,40446.514,0.824
221,мазут,0.053,0.051,1162.0,40160.654,2.581
222,мазут,0.074,0.282,1154.0,40518.633,1.359
223,мазут,0.049,0.033,1295.0,39507.908,1.445
224,мазут,0.04,0.304,1209.0,39303.235,2.878
225,мазут,0.047,0.215,1441.0,39952.191,0.577
226,мазут,0.069,0.046,1213.0,39765.977,2.603
227,мазут,0.039,0.224,1289.0,39548.724,0.481
228,мазут,0.066,0.34,1346.0,39139.97,1.357
229,мазут,0.044,0.267,1314.0,40344.225,2.031
230,мазут,0.041,0.097,1336.0,40080.447,1.827
231,мазут,0.045,0.344,1140.0,40451.726,3.859
232,мазут,0.034,0.194,1272.0,39339.06,3.329
233,мазут,0.072,0.284,1153.0,39276.335,2.793
234,мазут,0.037,0.094,1348.0,40284.275,1.281
235,мазут,0.058,0.136,1315.0,39569.534,1.108
236,мазут,0.074,0.12,1286.0,40040.627,2.426
237,мазут,0.055,0.026,1247.0,39231.479,1.241
238,мазут,0.03,0.355,1049.0,39550.902,2.001
239,мазут,0.066,0.23,1275.0,39839.017,0.993
240,мазут,0.036,0.426,1371.0,40368.097,1.791
241,мазут,0.033,0.017,1266.0,40338.499,1.361
242,мазут,0.063,0.275,1214.0,39666.2,1.101
243,мазут,0.044,0.235,1391.0,40165.52,2.303
244,мазут,0.041,0.174,1223.0,39854.04,3.548
245,мазут,0.035,0.106,1229.0,39514.517,2.367
246,мазут,0.068,0.075,1163.0,40256.978,3.192
247,мазут,0.08,0.213,1204.0,39208.17,1.755
248,мазут,0.053,0.249,1426.0,40574.776,2.352
249,мазут,0.024,0.092,1231.0,40523.879,1.571
250,мазут,0.04,0.088,1038.0,40560.541,1.572
251,мазут,0.032,0.146,1398.0,39351.987,0.622
252,мазут,0.05,0.02,1238.0,39122.554,0.617
253,мазут,0.057,0.002,1003.0,39454.371,3.309
254,мазут,0.051,0.267,1370.0,39034.889,1.382
255,мазут,0.026,0.218,1422.0,39898.383,0.452
256,мазут,0.029,0.162,1175.0,39325.817,1.836
257,мазут,0.065,0.2,1320.0,39741.959,2.809
258,мазут,0.036,0.169,1291.0,39947.219,2.062
259,мазут,0.086,0.093,1174.0,39818.012,2.049
260,мазут,0.035,0.13,1383.0,39616.736,1.251
261,мазут,0.032,0.081,1206.0,40143.339,3.686
262,мазут,0.021,0.042,1003.0,40206.929,2.369
263,мазут,0.024,0.22,1267.0,39754.94,2.98
264,мазут,0.044,0.143,1333.0,40076.054,1.068
265,мазут,0.023,0.179,1260.0,40141.147,1.546
266,мазут,0.043,0.003,1118.0,39985.953,1.713
267,мазут,0.049,0.026,1362.0,40488.265,2.825
268,мазут,0.08,0.076,1170.0,40270.225,1.382
269,мазут,0.077,0.144,1208.0,40267.917,2.228
270,мазут,0.05,0.261,1385.0,39703.253,1.815
271,мазут,0.045,0.101,1376.0,39854.378,0.529
272,мазут,0.063,0.208,1240.0,39723.424,1.513
273,мазут,0.039,0.136,1275.0,39907.253,1.091
274,мазут,0.057,0.02,1366.0,40184.943,0.418
275,мазут,0.053,0.066,1021.0,40804.887,2.479
276,мазут,0.046,0.479,1375.0,39750.663,1.186
277,мазут,0.097,0.14,1449.0,39957.38,1.721
278,мазут,0.08,0.312,1295.0,39993.072,0.797
279,мазут,0.088,0.026,1276.0,40444.721,0.954
280,мазут,0.044,0.138,1328.0,40426.818,0.774
281,мазут,0.048,0.111,1404.0,40341.908,1.14
282,мазут,0.059,0.189,1224.0,39512.923,2.153
283,мазут,0.064,0.343,1482.0,39876.792,1.956
284,мазут,0.03,0.226,1230.0,40014.802,3.572
285,мазут,0.045,0.184,1305.0,40631.077,2.336
286,мазут,0.026,0.157,1182.0,39691.981,1.621
287,мазут,0.075,0.241,1348.0,40224.985,2.111
288,мазут,0.06,0.11,1380.0,40056.22,2.733
289,мазут,0.023,0.325,1458.0,40660.327,0.766
290,мазут,0.048,0.195,1269.0,39825.839,2.793
291,мазут,0.042,0.071,1362.0,39951.586,0.713
292,мазут,0.075,0.194,1439.0,39146.79,2.811
293,мазут,0.037,0.122,1111.0,40620.695,3.159
294,мазут,0.025,0.103,1391.0,40562.652,2.968
295,мазут,0.03,0.005,1131.0,39993.919,2.429
296,мазут,0.077,0.258,1218.0,40964.566,1.812
297,мазут,0.071,0.017,1255.0,39950.949,2.967
298,мазут,0.053,0.107,1462.0,40116.894,2.616
299,мазут,0.105,0.061,1213.0,39978.584,2.078
300,мазут,0.063,0.022,1471.0,39911.845,3.517
301,мазут,0.081,0.258,1089.0,40370.945,1.177
302,мазут,0.036,0.318,1234.0,39507.254,3.048
303,мазут,0.065,0.01,1243.0,39358.043,3.102
304,мазут,0.047,0.273,1253.0,39809.811,0.605
305,мазут,0.055,0.325,1146.0,40006.903,1.64
306,мазут,0.079,0.102,1044.0,39927.99,2.502
307,мазут,0.065,0.094,1289.0,39786.322,2.496
308,мазут,0.065,0.227,1228.0,40072.537,3.606
309,мазут,0.03,0.295,1142.0,40477.362,2.306
310,мазут,0.043,0.325,1301.0,39347.632,1.898
311,мазут,0.022,0.173,1397.0,39597.539,1.278
312,мазут,0.084,0.304,1147.0,39661.773,1.992
313,мазут,0.049,0.12,1197.0,39394.177,0.973
314,мазут,0.039,0.192,1146.0,40672.213,1.821
315,мазут,0.039,0.278,1219.0,39369.58,1.227
316,мазут,0.064,0.326,1137.0,39939.494,1.877
317,мазут,0.041,0.444,1334.0,39815.214,1.172
318,мазут,0.057,0.193,1192.0,39135.084,1.732
319,мазут,0.027,0.027,1243.0,39776.089,1.795
320,мазут,0.069,0.2,1092.0,40174.377,0.971
321,мазут,0.05,0.031,1310.0,39978.701,0.87
322,мазут,0.038,0.185,1210.0,39887.649,1.83
323,мазут,0.05,0.231,1295.0,39767.247,2.641
324,мазут,0.026,0.099,1310.0,39452.919,1.823
325,мазут,0.033,0.055,1184.0,39772.718,2.434
326,мазут,0.066,0.121,1334.0,40328.046,2.65
327,мазут,0.066,0.073,1146.0,40037.977,0.35
328,мазут,0.044,0.171,1235.0,40031.296,1.938
329,мазут,0.073,0.006,1121.0,40717.871,1.823
330,мазут,0.049,0.293,1066.0,39527.939,1.233
331,мазут,0.06,0.105,1230.0,40380.486,0.728
332,мазут,0.022,0.236,1062.0,40827.904,1.685
333,мазут,0.025,0.064,1130.0,39353.544,1.891
334,мазут,0.041,0.093,1268.0,40380.635,1.927
335,мазут,0.04,0.107,1179.0,40789.887,3.298
336,мазут,0.033,0.062,1241.0,39317.756,2.465
337,мазут,0.023,0.064,1307.0,39211.451,0.76
338,мазут,0.028,0.126,1348.0,39797.422,2.613
339,мазут,0.045,0.306,1137.0,39788.196,1.473
340,мазут,0.065,0.413,1394.0,39669.588,2.218
341,мазут,0.07,0.011,1234.0,40183.999,1.955
342,мазут,0.055,0.012,1444.0,40139.95,2.26
343,мазут,0.023,0.115,1063.0,39890.49,1.534
344,мазут,0.044,0.025,1224.0,40565.86,2.075
345,мазут,0.033,0.103,1185.0,40385.199,1.811
346,мазут,0.023,0.202,1345.0,39854.44,2.162
347,мазут,0.045,0.284,1136.0,40297.521,1.947
348,мазут,0.044,0.266,1144.0,39757.603,3.591
349,мазут,0.049,0.42,1400.0,39544.355,2.242
350,мазут,0.024,0.016,1038.0,39901.243,2.527
351,мазут,0.041,0.298,1162.0,40597.552,2.026
352,мазут,0.026,0.165,1195.0,39046.948,2.31
353,мазут,0.072,0.074,1446.0,39806.232,1.004
354,мазут,0.069,0.032,1323.0,40045.455,0.36
355,мазут,0.065,0.016,1196.0,40179.385,0.37
356,мазут,0.055,0.29,1295.0,39320.382,0.982
357,мазут,0.02,0.183,1313.0,40463.484,3.108
358,мазут,0.057,0.329,1176.0,39783.123,2.22
359,мазут,0.031,0.387,1044.0,39235.537,3.583
360,мазут,0.023,0.144,1175.0,39287.386,2.784
361,мазут,0.045,0.217,1301.0,40554.222,2.904
362,мазут,0.031,0.093,1200.0,39502.615,0.414
363,мазут,0.038,0.301,1062.0,40196.176,1.32
364,мазут,0.055,0.053,1372.0,40082.669,1.852
365,мазут,0.038,0.252,1062.0,39549.29,1.485
366,мазут,0.033,0.173,1195.0,39987.511,1.997
367,мазут,0.049,0.07,1195.0,39593.401,1.209
368,мазут,0.079,0.206,1417.0,39157.805,0.778
369,мазут,0.093,0.413,1106.0,39766.762,0.984
370,мазут,0.039,0.077,1092.0,39983.422,1.753
371,мазут,0.056,0.232,1198.0,39551.832,2.127
372,мазут,0.074,0.147,1290.0,40254.912,3.356
373,мазут,0.057,0.207,1455.0,39183.774,2.106
374,мазут,0.036,0.228,1047.0,39797.409,1.967
375,мазут,0.049,0.259,1385.0,40516.348,2.598
376,мазут,0.046,0.191,1196.0,39749.018,2.572
377,мазут,0.044,0.126,1051.0,39446.884,1.43
378,мазут,0.052,0.436,1398.0,39625.351,1.994
379,мазут,0.063,0.072,1468.0,40437.56,2.055
380,мазут,0.032,0.156,1234.0,39481.042,2.134
381,мазут,0.045,0.151,1041.0,40018.559,1.587
382,мазут,0.055,0.159,1209.0,40487.894,1.358
383,мазут,0.079,0.219,1334.0,40150.594,0.53
384,мазут,0.071,0.342,1276.0,40297.394,2.131
385,мазут,0.034,0.298,1182.0,39573.673,3.38
386,мазут,0.073,0.315,1173.0,39683.876,3.729
387,мазут,0.049,0.21,1313.0,39991.796,2.928
388,мазут,0.034,0.405,1199.0,40423.436,3.653
389,мазут,0.04,0.161,1427.0,39844.741,1.938
390,мазут,0.049,0.138,1173.0,39426.715,1.162
391,мазут,0.044,0.293,1265.0,39977.665,0.38
392,мазут,0.05,0.466,1175.0,39527.148,2.381
393,мазут,0.055,0.026,1006.0,39670.311,2.79
394,мазут,0.072,0.165,1454.0,39995.378,1.179
395,мазут,0.032,0.223,1321.0,39302.072,2.027
396,мазут,0.076,0.091,1238.0,39927.527,0.714
397,мазут,0.082,0.18,1395.0,39736.323,2.177
398,мазут,0.045,0.164,1234.0,39451.812,1.866
399,мазут,0.021,0.161,1072.0,40052.098,1.55
400,мазут,0.076,0.079,1435.0,40766.473,2.223
401,мазут,0.076,0.179,1471.0,39922.271,1.395
402,мазут,0.047,0.173,1239.0,39157.332,0.747
403,мазут,0.093,0.303,1149.0,40716.498,0.864
404,мазут,0.029,0.023,1296.0,40298.654,1.823
405,мазут,0.06,0.174,1406.0,39644.537,2.466
406,мазут,0.021,0.388,1367.0,39832.018,2.256
407,мазут,0.035,0.251,1283.0,39602.71,1.33
408,мазут,0.028,0.265,1476.0,39867.802,1.76
409,мазут,0.056,0.167,1099.0,39192.182,0.544
410,мазут,0.074,0.034,1098.0,39280.229,0.639
411,мазут,0.078,0.173,1287.0,39974.734,1.38
412,мазут,0.024,0.02,1498.0,40548.22,0.982
413,мазут,0.035,0.342,1303.0,40258.179,2.227
414,мазут,0.049,0.075,1255.0,40676.295,2.233
415,мазут,0.038,0.213,1275.0,39474.499,1.595
416,мазут,0.04,0.035,1306.0,39771.942,2.526
417,мазут,0.061,0.222,1161.0,39627.279,2.811
418,мазут,0.052,0.35,1400.0,39635.806,2.419
419,мазут,0.087,0.082,1262.0,40862.575,0.509
420,мазут,0.037,0.225,1318.0,40403.719,3.069
421,мазут,0.072,0.184,1162.0,39968.4,0.317
422,мазут,0.032,0.142,1318.0,39422.45,1.995
423,мазут,0.058,0.424,1292.0,39875.432,1.73
424,мазут,0.052,0.089,1380.0,40584.161,2.187
425,мазут,0.057,0.208,1404.0,39564.745,2.028
426,мазут,0.042,0.147,1361.0,40606.229,1.901
427,мазут,0.056,0.316,1126.0,39999.974,1.174
428,мазут,0.034,0.338,1258.0,39621.338,0.885
429,мазут,0.034,0.173,1306.0,39480.228,3.347
430,мазут,0.031,0.414,1299.0,39059.753,0.479
431,мазут,0.06,0.335,1273.0,39794.839,1.613
432,мазут,0.053,0.148,1396.0,39978.982,2.61
433,мазут,0.036,0.167,1348.0,39671.038,1.306
434,мазут,0.061,0.117,1307.0,39517.786,2.543
435,мазут,0.036,0.273,1100.0,40530.168,2.381
436,мазут,0.048,0.017,1322.0,39614.02,2.764
437,мазут,0.042,0.128,1363.0,39661.486,1.625
438,мазут,0.057,0.273,1379.0,39994.806,3.326
439,мазут,0.024,0.199,1410.0,40328.456,2.199
440,мазут,0.05,0.155,1351.0,39662.959,1.88
441,мазут,0.091,0.427,1429.0,39485.508,1.566
442,мазут,0.045,0.057,1395.0,40068.317,1.442
443,мазут,0.053,0.216,1026.0,40621.963,1.676
444,мазут,0.039,0.315,1093.0,39450.424,2.851
445,мазут,0.043,0.236,1134.0,39364.314,0.304
446,мазут,0.049,0.171,1309.0,39537.847,1.928
447,мазут,0.043,0.109,1250.0,39846.2,0.719
448,мазут,0.069,0.293,1417.0,39660.054,1.9
449,мазут,0.037,0.081,1214.0,39135.194,3.145
450,мазут,0.042,0.266,1429.0,39923.715,0.418
451,мазут,0.068,0.242,1267.0,40986.7,1.524
452,мазут,0.075,0.024,1168.0,39670.544,1.749
453,мазут,0.03,0.093,1255.0,39930.716,1.926
454,мазут,0.069,0.167,1375.0,40188.947,0.332
455,мазут,0.08,0.039,1359.0,40034.592,1.765
456,мазут,0.04,0.111,1308.0,39261.854,2.337
457,мазут,0.083,0.435,1298.0,39629.881,1.225
458,мазут,0.047,0.3,1415.0,39731.295,1.33
459,мазут,0.031,0.265,1311.0,40799.951,0.793
460,мазут,0.043,0.138,1356.0,39514.907,2.052
461,мазут,0.043,0.085,1204.0,39382.235,2.098
462,мазут,0.071,0.235,1384.0,40067.029,1.22
463,мазут,0.047,0.362,1334.0,40071.474,2.849
464,мазут,0.053,0.139,1383.0,40198.245,1.32
465,мазут,0.053,0.076,1297.0,40202.155,1.143
466,мазут,0.082,0.163,1379.0,40154.833,2.55
467,мазут,0.049,0.179,1252.0,39233.948,1.701
468,мазут,0.056,0.091,1208.0,40689.19,1.759
469,мазут,0.024,0.019,1225.0,39812.367,2.069
470,мазут,0.067,0.264,1149.0,40536.104,0.889
471,мазут,0.038,0.297,1300.0,40497.837,3.195
472,мазут,0.065,0.19,1378.0,40865.527,1.611
473,мазут,0.043,0.125,1263.0,40072.185,1.689
474,мазут,0.035,0.443,1416.0,39880.305,0.947
475,мазут,0.054,0.077,1229.0,39701.106,0.739
476,мазут,0.033,0.181,1132.0,39108.357,2.318
477,мазут,0.038,0.027,1130.0,39893.065,1.271
478,мазут,0.073,0.196,1131.0,40087.096,2.524
479,мазут,0.042,0.15,1122.0,40470.569,2.362
480,мазут,0.061,0.131,1296.0,40693.314,2.243
481,мазут,0.076,0.23,1449.0,39973.984,0.343
482,мазут,0.021,0.023,1268.0,39572.316,1.771
483,мазут,0.054,0.242,1077.0,39619.585,3.24
484,мазут,0.044,0.001,1340.0,39223.056,2.008
485,мазут,0.021,0.199,1261.0,40326.905,1.973
486,мазут,0.056,0.232,1389.0,39627.378,3.163
487,мазут,0.069,0.35,1204.0,40008.237,1.305
488,мазут,0.047,0.222,1072.0,40280.276,2.362
489,мазут,0.032,0.197,1014.0,39770.846,0.9
490,мазут,0.045,0.404,1221.0,39270.037,2.202
491,мазут,0.037,0.052,1065.0,39080.771,0.302
492,мазут,0.074,0.07,1156.0,39621.357,0.693
493,мазут,0.061,0.322,1180.0,40252.254,3.096
494,мазут,0.062,0.218,1301.0,40269.08,1.422
495,мазут,0.051,0.151,1483.0,39681.998,2.509
496,мазут,0.054,0.217,1240.0,39355.239,2.807
497,мазут,0.049,0.347,1144.0,39989.971,3.038
